ticker,name,sector,market,status,delist_reason,total_ret,cagr,mdd,ann_vol,best_year,worst_year,med_daily_value,pattern,artifact_tier,artifact_suspect,n_over_limit,n_intmult,jump_zero_vol,zero_vol_pct,max_flat_run,last_vs_peak_pct,final_30d_pct,n_days,first_date,last_date
250930,예선테크,22291,,survivor,,-0.752,-0.1399,-0.9273,0.5183,2019:22%,2022:-46%,60941597.5,decline,clean,False,0,0,0,0.071,40,,,2266,2016-09-29,2025-12-30
251120,바이오에프디엔씨,2110,,survivor,,-0.2255,-0.0643,-0.5912,0.45,2025:14%,2023:-17%,397150760.0,sideways,clean,False,0,0,0,0.005,2,,,940,2022-02-24,2025-12-30
251270,넷마블,5821,,survivor,,-0.6922,-0.1277,-0.8112,0.4448,2020:43%,2022:-52%,18267227407.515625,decline,clean,False,0,0,0,0.007,3,,,2113,2017-05-15,2025-12-30
251370,와이엠티,201,,survivor,,0.4787,0.0461,-0.7097,0.5411,2019:82%,2018:-60%,937238381.7773438,sideways,clean,False,0,0,0,0.006,3,,,2120,2017-04-28,2025-12-30
251630,브이원텍,29272,,survivor,,-0.3844,-0.0557,-0.8593,0.5424,2023:79%,2024:-63%,710662961.4257812,sideways,clean,False,0,0,0,0.005,2,,,2070,2017-07-14,2025-12-30
251970,펌텍코리아,22232,,survivor,,1.5436,0.1547,-0.6198,0.4656,2024:84%,2020:-12%,1220959794.1064453,sideways,clean,False,0,0,0,0.004,2,,,1592,2019-07-04,2025-12-30
252500,세화피앤씨,204,,survivor,,-0.0812,-0.0092,-0.8058,0.5866,2020:35%,2023:-27%,394951912.4267578,sideways,clean,False,0,0,0,0.015,29,,,2243,2016-11-02,2025-12-30
252990,샘씨엔에스,2629,,survivor,,-0.1911,-0.0449,-0.6401,0.535,2025:72%,2022:-44%,1282862925.0,sideways,clean,False,0,0,0,0.007,2,,,1129,2021-05-20,2025-12-30
253450,스튜디오드래곤,59114,,survivor,,-0.4046,-0.062,-0.7154,0.3924,2018:42%,2023:-40%,8795138000.0,sideways,clean,False,0,0,0,0.004,2,,,1983,2017-11-24,2025-12-30
253590,네오셈,292,KOSDAQ,survivor,,4.7868,0.2546,-0.6495,0.6028,2020:167%,2019:-23%,759600954.984375,spike,clean,False,0,0,0,0.03,42,,,1897,2018-04-04,2025-12-30
253840,수젠텍,213,,survivor,,0.0477,0.0051,-0.9136,0.838,2020:270%,2019:-57%,822230108.4926758,spike,clean,False,0,0,0,0.119,47,,,2235,2016-11-14,2025-12-30
254120,자비스,292,,survivor,,-0.1901,-0.023,-0.8027,0.5422,2023:48%,2024:-43%,211225060.35058594,sideways,clean,False,0,0,0,0.056,43,,,2221,2016-12-02,2025-12-30
254490,미래반도체,467,,survivor,,0.0436,0.0147,-0.74,0.7286,2025:50%,2024:-54%,1544228420.0,sideways,clean,False,0,0,0,0.0,2,,,713,2023-01-27,2025-12-30
255220,SG,23991,,survivor,,0.488,0.0514,-0.8292,0.6807,2024:81%,2022:-43%,572602475.0,sideways,clean,False,0,0,0,0.005,2,,,1942,2018-01-26,2025-12-30
255440,야스,29272,,survivor,,-0.4189,-0.0637,-0.7877,0.5277,2025:38%,2022:-52%,636068984.6601562,sideways,clean,False,0,0,0,0.009,9,,,2017,2017-09-29,2025-12-30
256150,한독크린텍,29175,,survivor,,-0.3023,-0.0554,-0.7269,0.3632,2020:70%,2022:-31%,158591431.25610352,sideways,clean,False,0,0,0,0.006,3,,,1548,2019-09-05,2025-12-30
256630,포인트엔지니어링,25923,,survivor,,-0.442,-0.0652,-0.7537,0.4368,2020:39%,2022:-40%,81603943.84570312,sideways,watch,False,1,0,0,0.047,31,,,2118,2017-05-04,2025-12-30
256840,한국비엔씨,211,,survivor,,1.4447,0.1045,-0.9504,0.6847,2021:558%,2022:-82%,1932361438.2297363,spike,clean,False,0,0,0,0.076,54,,,2201,2017-01-02,2025-12-30
256940,킵스파마,212,,survivor,,1.9967,0.1294,-0.8299,0.6491,2020:343%,2022:-48%,365744390.1074219,spike,clean,False,0,0,0,0.112,60,,,2206,2016-12-23,2025-12-30
257370,피엔티엠에스,292,,survivor,,-0.9005,-0.2712,-0.9472,0.5211,2021:0%,2024:-62%,0.0,decline,clean,False,0,0,0,0.523,935,,,1787,2018-09-13,2025-12-30
257720,실리콘투,46800,KOSDAQ,survivor,,8.7437,0.7094,-0.7504,0.8181,2024:324%,2022:-24%,17484587936.160156,spike,clean,False,0,0,0,0.009,3,,,1037,2021-10-01,2025-12-30
258610,케일럼,251,,survivor,,-0.8849,-0.2279,-0.9395,0.7303,2019:143%,2024:-67%,347496540.0,decline,clean,False,0,0,0,0.005,2,,,2044,2017-08-22,2025-12-30
258790,소프트캠프,582,,survivor,,-0.2646,-0.0348,-0.8276,0.5945,2020:106%,2022:-45%,125446550.0,spike,watch,False,1,0,0,0.099,55,,,2120,2017-04-28,2025-12-30
258830,세종메디칼,27199,,survivor,,-0.9299,-0.2954,-0.96,0.6912,2021:158%,2024:-64%,421862900.0,decline,clean,False,0,0,0,0.24,424,,,1861,2018-05-29,2025-12-30
259630,엠플러스,292,,survivor,,0.0408,0.0048,-0.7474,0.5547,2020:71%,2022:-44%,1309198778.34375,sideways,clean,False,0,0,0,0.005,2,,,2023,2017-09-20,2025-12-30
259960,크래프톤,5821,KOSPI,survivor,,-0.4581,-0.1303,-0.7416,0.4325,2024:61%,2022:-63%,32372990318.65625,sideways,clean,False,0,0,0,0.007,3,,,1071,2021-08-10,2025-12-30
260660,알리코제약,213,,survivor,,-0.6792,-0.1344,-0.8289,0.5336,2025:26%,2024:-38%,332897899.4794922,decline,clean,False,0,0,0,0.005,3,,,1931,2018-02-12,2025-12-30
260930,씨티케이,20423,,survivor,,-0.7529,-0.1592,-0.821,0.5156,2021:68%,2022:-54%,260904400.1364746,decline,clean,False,0,0,0,0.005,3,,,1974,2017-12-07,2025-12-30
260970,에스앤디,108,,survivor,,0.7927,0.0828,-0.8372,0.8566,2024:158%,2019:-61%,81709531.98242188,spike,watch,False,2,0,0,0.231,207,,,1799,2018-08-28,2025-12-30
261200,덴티스,271,,survivor,,-0.5681,-0.094,-0.7266,0.3849,2023:12%,2024:-34%,234976000.0,decline,clean,False,0,0,0,0.145,116,,,2083,2017-06-27,2025-12-30
261780,아리바이오랩,70113,,survivor,,-0.7827,-0.3054,-0.8177,0.5081,2023:13%,2022:-55%,464097880.0,decline,clean,False,0,0,0,0.007,2,,,1024,2021-10-22,2025-12-30
262260,에이프로,289,,survivor,,-0.8106,-0.2628,-0.8361,0.5103,2023:31%,2024:-64%,1070514215.1181641,decline,clean,False,0,0,0,0.006,2,,,1336,2020-07-16,2025-12-30
262840,아이퀘스트,58222,,survivor,,-0.7864,-0.2703,-0.8286,0.4119,2025:-12%,2022:-38%,128359152.04101562,decline,clean,False,0,0,0,0.006,3,,,1198,2021-02-05,2025-12-30
263020,디케이앤디,22214,,survivor,,0.0671,0.0092,-0.6371,0.4676,2020:70%,2022:-38%,234329337.10351562,sideways,clean,False,0,0,0,0.004,2,,,1744,2018-11-20,2025-12-30
263050,유틸렉스,211,,survivor,,-0.9505,-0.3484,-0.9769,0.6863,2020:12%,2023:-49%,1757039613.5625,decline,clean,False,0,0,0,0.008,3,,,1720,2018-12-24,2025-12-30
263600,덕우전자,2629,,survivor,,-0.3465,-0.0497,-0.7275,0.5154,2019:117%,2018:-53%,856886827.9951172,spike,clean,False,0,0,0,0.005,2,,,2040,2017-08-28,2025-12-30
263690,디알젬,27111,,survivor,,-0.0847,-0.0124,-0.7585,0.4997,2020:106%,2024:-44%,216211893.5078125,spike,clean,False,0,0,0,0.005,3,,,1742,2018-11-22,2025-12-30
263700,케어랩스,713,,survivor,,-0.8869,-0.2449,-0.9351,0.5989,2021:18%,2024:-42%,794015565.0,decline,clean,False,0,0,0,0.007,3,,,1902,2018-03-28,2025-12-30
