ticker,name,reason,sub_reason,capital_impair,loss_years,impair_first_year,last_year,last_vs_peak_pct,final_30d_pct,last_date
048130,에스피코프,부실상폐,소형·재무자료없음,재무없음,,,2010,2.1,-97.8,2010-04-19
048140,태광이엔시,부실상폐,소형·재무자료없음,재무없음,,,2010,1.7,-85.2,2010-11-24
048260,오스템임플란트,피인수상폐,피인수상폐,정상,0.0,,2023,100.0,1.1,2023-08-11
048460,엑큐리스,자진상폐,자진상폐,재무없음,,,2012,67.4,-4.6,2012-11-15
048510,테스텍,부실상폐,소형·재무자료없음,재무없음,,,2010,0.1,-98.8,2010-11-09
048640,엠엔에프씨,부실상폐,소형·재무자료없음,재무없음,,,2011,0.5,-94.9,2011-04-12
049000,예당컴퍼니,부실상폐,소형·재무자료없음,재무없음,,,2013,0.5,-98.0,2013-09-09
049690,포휴먼,부실상폐,소형·재무자료없음,재무없음,,,2011,0.1,-99.7,2011-04-22
049770,동원F&B,피인수상폐,피인수상폐,정상,0.0,,2025,96.1,10.4,2025-07-30
050050,유아이에너지,부실상폐,소형·재무자료없음,재무없음,,,2012,5.6,-93.6,2012-09-25
050320,에스에이치엔엘,부실상폐,급성붕괴(정상재무→급락:횡령·감사의견 추정),정상,1.0,2016.0,2022,5.7,-94.3,2022-05-30
050470,씨티앤티,부실상폐,소형·재무자료없음,재무없음,,,2012,2.9,-88.9,2012-04-30
050540,엠피씨플러스,부실상폐,적자지속,정상,2.0,2020.0,2023,14.7,-56.3,2023-05-04
050640,이룸지엔지,부실상폐,소형·재무자료없음,재무없음,,,2011,0.4,-96.4,2011-08-19
051170,썬코어,부실상폐,부분자본잠식,부분자본잠식,2.0,2016.0,2018,1.1,-98.0,2018-03-14
051310,플랜텍,부실상폐,완전자본잠식,완전자본잠식,1.0,,2016,2.2,-90.7,2016-04-14
051710,디에스,부실상폐,소형·재무자료없음,재무없음,,,2013,1.5,-96.5,2013-04-30
051810,모보,부실상폐,소형·재무자료없음,재무없음,,,2010,10.0,-88.8,2010-04-12
051820,아이피에스,피인수상폐,피인수상폐,재무없음,,,2011,87.0,1.0,2011-01-13
052190,세영디앤씨,부실상폐,부분자본잠식,부분자본잠식,3.0,2021.0,2022,3.2,-96.8,2022-05-26
052210,엠씨티티코어,부실상폐,소형·재무자료없음,재무없음,,,2010,1.0,-98.0,2010-12-03
052270,우전,부실상폐,급성붕괴(정상재무→급락:횡령·감사의견 추정),정상,1.0,,2017,2.6,-94.2,2017-04-12
052290,트레이스,부실상폐,부분자본잠식,부분자본잠식,3.0,2017.0,2018,0.6,-99.0,2018-10-10
052350,코아에스앤아이,부실상폐,소형·재무자료없음,재무없음,,,2012,0.5,-97.3,2012-04-16
052510,에코솔루션,부실상폐,소형·재무자료없음,재무없음,,,2011,1.3,-94.4,2011-06-15
052650,이디디컴퍼니,부실상폐,소형·재무자료없음,재무없음,,,2013,0.8,-90.6,2013-04-11
052670,제일바이오,피인수상폐,피인수상폐,정상,3.0,,2026,51.2,15284.6,2026-02-20
052810,아시아미디어홀딩스,부실상폐,소형·재무자료없음,재무없음,,,2011,1.7,-94.2,2011-11-21
052880,모아에스앤에스,부실상폐,소형·재무자료없음,재무없음,,,2011,5.6,-78.3,2011-09-22
052970,올리브나인,부실상폐,소형·재무자료없음,재무없음,,,2010,0.9,-98.9,2010-10-19
053000,우리금융지주,피인수상폐,피인수상폐,재무없음,,,2014,81.8,-5.2,2014-11-18
053040,블루젬디앤씨,부실상폐,소형·재무자료없음,재무없음,,,2012,2.6,-94.5,2012-05-16
053110,소리바다,부실상폐,완전자본잠식,완전자본잠식,3.0,2018.0,2022,1.4,-98.6,2022-09-06
053320,제네시스디벨롭먼트홀딩스,부실상폐,소형·재무자료없음,재무없음,,,2014,0.9,-97.5,2014-02-06
053330,영진코퍼레이션,부실상폐,소형·재무자료없음,재무없음,,,2015,0.6,-97.8,2015-04-22
053440,성우몰드,피인수상폐,피인수상폐,재무없음,,,2010,82.2,-3.7,2010-04-20
053470,오페스,부실상폐,소형·재무자료없음,재무없음,,,2010,0.6,-97.2,2010-05-07
053590,한국테크놀로지,부실상폐,완전자본잠식,완전자본잠식,3.0,2018.0,2024,0.6,-99.4,2024-10-04
053660,현진소재,부실상폐,완전자본잠식,완전자본잠식,3.0,2017.0,2022,1.8,-98.2,2022-04-25
053740,국제엘렉트릭코리아,피인수상폐,피인수상폐,정상,0.0,,2015,95.6,-0.2,2015-02-09
053810,아이팩토리,부실상폐,급성붕괴(정상재무→급락:횡령·감사의견 추정),정상,1.0,,2016,5.1,-85.0,2016-09-13
